phase,treatment,seed,lr,step,minibatch_ce,grad_norm_before_clip,mean_dropout
tuning,dense6,1701,0.0001,1,2.320512533187866,2.8604166507720947,0.0
tuning,dense6,1701,0.0001,100,0.48096853494644165,0.9484246969223022,0.0
tuning,dense6,1701,0.0001,200,0.24767860770225525,0.7317891120910645,0.0
tuning,dense6,1701,0.0001,300,0.09829015284776688,0.4246644675731659,0.0
tuning,dense6,1701,0.0001,400,0.09666669368743896,0.45074498653411865,0.0
tuning,dense6,1701,0.0001,500,0.10229435563087463,0.38753509521484375,0.0
tuning,dense6,1701,0.0001,600,0.07928521931171417,0.31016916036605835,0.0
tuning,dense6,1702,0.0001,1,2.375067949295044,3.115833044052124,0.0
tuning,dense6,1702,0.0001,100,0.45178064703941345,0.9056869149208069,0.0
tuning,dense6,1702,0.0001,200,0.18451333045959473,0.6259106993675232,0.0
tuning,dense6,1702,0.0001,300,0.13620415329933167,0.5581479668617249,0.0
tuning,dense6,1702,0.0001,400,0.0763779953122139,0.38081589341163635,0.0
tuning,dense6,1702,0.0001,500,0.07405845820903778,0.3040246069431305,0.0
tuning,dense6,1702,0.0001,600,0.06696721911430359,0.26243627071380615,0.0
tuning,dense6,1701,0.0003,1,2.320512533187866,2.8604166507720947,0.0
tuning,dense6,1701,0.0003,100,0.1297217607498169,0.5511252880096436,0.0
tuning,dense6,1701,0.0003,200,0.0443272739648819,0.21015404164791107,0.0
tuning,dense6,1701,0.0003,300,0.01867526024580002,0.07538482546806335,0.0
tuning,dense6,1701,0.0003,400,0.01566227152943611,0.06850451976060867,0.0
tuning,dense6,1701,0.0003,500,0.016352497041225433,0.06681979447603226,0.0
tuning,dense6,1701,0.0003,600,0.013596606440842152,0.06020768731832504,0.0
tuning,dense6,1702,0.0003,1,2.375067949295044,3.115833044052124,0.0
tuning,dense6,1702,0.0003,100,0.11137386411428452,0.42587733268737793,0.0
tuning,dense6,1702,0.0003,200,0.033474840223789215,0.14430944621562958,0.0
tuning,dense6,1702,0.0003,300,0.023292386904358864,0.11535834521055222,0.0
tuning,dense6,1702,0.0003,400,0.014361687935888767,0.056435875594615936,0.0
tuning,dense6,1702,0.0003,500,0.01324843242764473,0.049321722239255905,0.0
tuning,dense6,1702,0.0003,600,0.012338725849986076,0.04455925151705742,0.0
tuning,dense6,1701,0.001,1,2.320512533187866,2.8604166507720947,0.0
tuning,dense6,1701,0.001,100,0.020596249029040337,0.2472352385520935,0.0
tuning,dense6,1701,0.001,200,0.005679335445165634,0.02446889504790306,0.0
tuning,dense6,1701,0.001,300,0.0030812215991318226,0.01123932097107172,0.0
tuning,dense6,1701,0.001,400,0.0025771181099116802,0.010149123147130013,0.0
tuning,dense6,1701,0.001,500,0.002309750532731414,0.008978153578937054,0.0
tuning,dense6,1701,0.001,600,0.0020699845626950264,0.00777573324739933,0.0
tuning,dense6,1702,0.001,1,2.375067949295044,3.115833044052124,0.0
tuning,dense6,1702,0.001,100,0.014948846772313118,0.07470586150884628,0.0
tuning,dense6,1702,0.001,200,0.005234130658209324,0.019480079412460327,0.0
tuning,dense6,1702,0.001,300,0.0035134893842041492,0.013833542354404926,0.0
tuning,dense6,1702,0.001,400,0.0024221185594797134,0.008952810429036617,0.0
tuning,dense6,1702,0.001,500,0.0021263305097818375,0.007719396613538265,0.0
tuning,dense6,1702,0.001,600,0.00199492578394711,0.007092105690389872,0.0
tuning,dense6,1701,0.003,1,2.320512533187866,2.8604166507720947,0.0
tuning,dense6,1701,0.003,100,0.055208269506692886,1.0541807413101196,0.0
tuning,dense6,1701,0.003,200,0.0014158743433654308,0.010239923372864723,0.0
tuning,dense6,1701,0.003,300,0.0006755481008440256,0.00468387920409441,0.0
tuning,dense6,1701,0.003,400,0.0005471330950967968,0.0023775093723088503,0.0
tuning,dense6,1701,0.003,500,0.000500508991535753,0.002280349377542734,0.0
tuning,dense6,1701,0.003,600,0.00044755288399755955,0.002018861472606659,0.0
tuning,dense6,1702,0.003,1,2.375067949295044,3.115833044052124,0.0
tuning,dense6,1702,0.003,100,0.004684607032686472,0.076761394739151,0.0
tuning,dense6,1702,0.003,200,0.0008538211113773286,0.0039911940693855286,0.0
tuning,dense6,1702,0.003,300,0.0006568144308403134,0.0030493850354105234,0.0
tuning,dense6,1702,0.003,400,0.00044061720836907625,0.001841639750637114,0.0
tuning,dense6,1702,0.003,500,0.00038843724178150296,0.0017720345640555024,0.0
tuning,dense6,1702,0.003,600,0.0003957663138862699,0.0016844786005094647,0.0
tuning,dense6,1701,0.01,1,2.320512533187866,2.8604166507720947,0.0
tuning,dense6,1701,0.01,100,0.0034227529540657997,0.029593324288725853,0.0
tuning,dense6,1701,0.01,200,0.00216272147372365,0.031446583569049835,0.0
tuning,dense6,1701,0.01,300,0.000163961187354289,0.0007758951978757977,0.0
tuning,dense6,1701,0.01,400,0.0001946937118191272,0.0010629878379404545,0.0
tuning,dense6,1701,0.01,500,0.00017489184392616153,0.001012365915812552,0.0
tuning,dense6,1701,0.01,600,0.00017485744319856167,0.001021465053781867,0.0
tuning,dense6,1702,0.01,1,2.375067949295044,3.115833044052124,0.0
tuning,dense6,1702,0.01,100,0.03563664108514786,0.4073784649372101,0.0
tuning,dense6,1702,0.01,200,0.0984296202659607,0.5571988224983215,0.0
tuning,dense6,1702,0.01,300,0.0005712113343179226,0.004109840840101242,0.0
tuning,dense6,1702,0.01,400,0.00024292507441714406,0.0012475820258259773,0.0
tuning,dense6,1702,0.01,500,0.00016873532149475068,0.0008167796186171472,0.0
tuning,dense6,1702,0.01,600,0.0001944548130268231,0.0012461841106414795,0.0
tuning,constant_ild,1701,0.0001,1,2.3204505443573,2.651733875274658,0.20000000000000004
tuning,constant_ild,1701,0.0001,100,0.6292850971221924,1.0357309579849243,0.20000000000000004
tuning,constant_ild,1701,0.0001,200,0.35182058811187744,0.772118330001831,0.20000000000000004
tuning,constant_ild,1701,0.0001,300,0.16563726961612701,0.5220030546188354,0.20000000000000004
tuning,constant_ild,1701,0.0001,400,0.15553344786167145,0.613639771938324,0.20000000000000004
tuning,constant_ild,1701,0.0001,500,0.18013925850391388,0.8121904134750366,0.20000000000000004
tuning,constant_ild,1701,0.0001,600,0.13727091252803802,0.5626893639564514,0.20000000000000004
tuning,constant_ild,1702,0.0001,1,2.339517593383789,2.9020886421203613,0.20000000000000004
tuning,constant_ild,1702,0.0001,100,0.5645827651023865,1.0392162799835205,0.20000000000000004
tuning,constant_ild,1702,0.0001,200,0.28474923968315125,0.7349197864532471,0.20000000000000004
tuning,constant_ild,1702,0.0001,300,0.2273300588130951,0.7509627342224121,0.20000000000000004
tuning,constant_ild,1702,0.0001,400,0.13401369750499725,0.6144475936889648,0.20000000000000004
tuning,constant_ild,1702,0.0001,500,0.11176852136850357,0.4738594889640808,0.20000000000000004
tuning,constant_ild,1702,0.0001,600,0.11932646483182907,0.4856787919998169,0.20000000000000004
tuning,constant_ild,1701,0.0003,1,2.3204505443573,2.651733875274658,0.20000000000000004
tuning,constant_ild,1701,0.0003,100,0.18983206152915955,0.7031015157699585,0.20000000000000004
tuning,constant_ild,1701,0.0003,200,0.08562871068716049,0.44912946224212646,0.20000000000000004
tuning,constant_ild,1701,0.0003,300,0.03280886262655258,0.183649942278862,0.20000000000000004
tuning,constant_ild,1701,0.0003,400,0.022378403693437576,0.11507195234298706,0.20000000000000004
tuning,constant_ild,1701,0.0003,500,0.027162104845046997,0.3851519227027893,0.20000000000000004
tuning,constant_ild,1701,0.0003,600,0.020782047882676125,0.11730042845010757,0.20000000000000004
tuning,constant_ild,1702,0.0003,1,2.339517593383789,2.9020886421203613,0.20000000000000004
tuning,constant_ild,1702,0.0003,100,0.15828999876976013,0.46460041403770447,0.20000000000000004
tuning,constant_ild,1702,0.0003,200,0.06004136800765991,0.28485262393951416,0.20000000000000004
tuning,constant_ild,1702,0.0003,300,0.04245565086603165,0.2566879689693451,0.20000000000000004
tuning,constant_ild,1702,0.0003,400,0.02113267220556736,0.15865257382392883,0.20000000000000004
tuning,constant_ild,1702,0.0003,500,0.0173262320458889,0.12899991869926453,0.20000000000000004
tuning,constant_ild,1702,0.0003,600,0.020647086203098297,0.20324115455150604,0.20000000000000004
tuning,constant_ild,1701,0.001,1,2.3204505443573,2.651733875274658,0.20000000000000004
tuning,constant_ild,1701,0.001,100,0.03759287670254707,0.6073770523071289,0.20000000000000004
tuning,constant_ild,1701,0.001,200,0.009102430194616318,0.061692409217357635,0.20000000000000004
tuning,constant_ild,1701,0.001,300,0.004135581199079752,0.025530369952321053,0.20000000000000004
tuning,constant_ild,1701,0.001,400,0.002991151763126254,0.019231395795941353,0.20000000000000004
tuning,constant_ild,1701,0.001,500,0.0034328706096857786,0.033267319202423096,0.20000000000000004
tuning,constant_ild,1701,0.001,600,0.0024563383776694536,0.012021671049296856,0.20000000000000004
